Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
26.563,-1.653,3.434,1.741,0.180,-0.414,-0.750,0.469,0.283,2.116,0.050
26.674,-1.648,3.415,1.738,0.141,-0.414,-0.781,0.422,-0.082,1.870,0.052
26.785,-1.646,3.404,1.736,0.117,-0.414,-0.797,0.398,-0.302,1.755,0.054
26.886,-1.642,3.393,1.735,0.102,-0.422,-0.813,0.367,-0.415,1.653,0.053
26.988,-1.636,3.378,1.734,0.086,-0.422,-0.828,0.344,-0.485,1.547,0.053
27.234,-1.578,3.244,1.733,0.055,-0.438,-0.844,0.281,-0.605,1.294,0.055
27.351,-1.035,2.188,1.688,0.063,-0.445,-0.836,0.281,-0.020,0.154,0.058
27.452,-0.672,1.482,1.658,0.063,-0.461,-0.836,0.281,0.290,-0.391,0.223
27.553,-0.635,1.410,1.655,0.070,-0.461,-0.836,0.281,0.395,-0.503,0.222
27.655,-0.635,1.410,1.655,0.070,-0.461,-0.836,0.281,0.446,-0.519,0.220
27.784,-0.635,1.410,1.655,0.070,-0.461,-0.836,0.281,0.488,-0.506,0.219
27.888,-0.623,1.388,1.658,0.086,-0.469,-0.820,0.297,0.601,-0.476,0.221
28.008,-0.620,1.391,1.661,0.109,-0.469,-0.805,0.320,0.915,-0.632,0.219
28.129,-0.620,1.394,1.670,0.133,-0.516,-0.766,0.336,1.159,-0.776,0.371
28.331,-0.622,1.397,1.676,0.148,-0.531,-0.750,0.344,1.829,-1.193,0.403
28.440,-0.622,1.409,1.677,0.180,-0.523,-0.727,0.391,1.924,-0.822,0.240
28.542,-0.618,1.416,1.668,0.188,-0.469,-0.734,0.430,1.788,-0.412,0.057
28.644,-0.618,1.416,1.668,0.188,-0.469,-0.734,0.430,1.542,-0.161,0.061
28.746,-0.615,1.415,1.663,0.188,-0.445,-0.742,0.445,1.425,-0.022,0.058
28.848,-0.615,1.415,1.663,0.188,-0.445,-0.742,0.445,1.365,0.050,0.060
28.950,-0.615,1.415,1.663,0.188,-0.445,-0.742,0.445,1.321,0.095,0.060
29.051,-0.586,1.379,1.658,0.188,-0.414,-0.750,0.461,1.202,0.181,0.058
29.153,-0.565,1.353,1.652,0.180,-0.391,-0.766,0.469,1.065,0.279,0.054
29.255,-0.565,1.353,1.652,0.180,-0.391,-0.766,0.469,1.056,0.289,0.054
29.462,-0.227,1.118,1.643,0.164,-0.352,-0.773,0.492,1.194,0.218,0.055
29.594,0.730,0.524,1.651,0.156,-0.352,-0.773,0.492,2.128,-0.389,0.057
29.700,0.945,0.391,1.652,0.156,-0.352,-0.773,0.484,2.310,-0.540,0.057
29.801,0.945,0.391,1.652,0.156,-0.352,-0.773,0.484,2.289,-0.558,0.058
29.904,0.970,0.362,1.654,0.141,-0.359,-0.789,0.461,2.283,-0.746,0.057
30.026,0.960,0.357,1.659,0.125,-0.391,-0.813,0.406,2.080,-0.911,0.235
30.127,0.941,0.364,1.671,0.094,-0.445,-0.820,0.320,1.974,-1.317,0.404
30.235,0.923,0.381,1.688,0.070,-0.523,-0.805,0.242,1.820,-1.705,0.720
30.382,0.903,0.422,1.717,0.047,-0.641,-0.742,0.156,1.261,-0.835,1.562
30.603,0.889,0.526,1.748,0.063,-0.789,-0.594,0.086,1.219,-0.830,2.139
30.737,0.885,0.567,1.754,0.070,-0.828,-0.539,0.078,1.223,-0.846,2.456
30.851,0.882,0.609,1.759,0.086,-0.867,-0.477,0.063,1.241,-0.842,2.717
31.003,0.882,0.655,1.760,0.078,-0.898,-0.422,0.055,1.236,-0.838,3.006
31.137,0.882,0.655,1.760,0.078,-0.898,-0.422,0.055,1.219,-0.866,3.164
31.289,0.885,0.679,1.758,0.070,-0.906,-0.391,0.055,1.232,-0.841,3.252
31.400,0.885,0.679,1.758,0.070,-0.906,-0.391,0.055,1.232,-0.841,3.257
31.512,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.224,-0.818,3.366
31.703,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.219,-0.817,3.365
31.845,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.222,-0.822,3.356
31.959,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.242,-0.816,3.353
32.079,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.250,-0.818,3.351
32.183,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.254,-0.817,3.357
32.310,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.254,-0.816,3.363
